"account_id","account_name","avg_wau_last_12_weeks","customer_since_date","health_summary_flag","opportunity_id","pred_point","projects_created_last_12_weeks","renewal_week","stage_name","total_active_arr","weeks_as_customer","weeks_to_renewal","weeks_with_preds_last_12_weeks"
"0012A00002069czQAA","Turo","5.666","2017-08-01","Green","0060Z00000ufLpfQAE","2019-11-18","53","2020-07-27","7-Closed Won","89600.0","120","36","12"
"0010Z00001wqzODQAY","Florida International University","1.166","2018-08-20","Green","0060Z00000ufg6NQAQ","2019-12-09","105","2020-08-17","7-Closed Won","43200.0","68","36","8"
"0012A00002Ad0krQAB","KOBAYASHI PHARMACEUTICAL CO., LTD.","0.833","2017-11-06","Green","0060Z00000pRz1XQAS","2019-02-25","301","2019-11-04","7-Closed Won","","68","36","1"
"0012A00002Jg38ZQAR","Tint","0.916","2018-05-01","Not Flagged this week","0060Z00000lfAsHQAU","2018-08-20","95","2019-04-29","7-Closed Won","","16","36","7"
"0010Z00001yVMhUQAW","Danridge Holdings LLC","1.666","2018-09-07","Green","0060Z00000nLYPEQA4","2018-12-24","9","2019-09-02","8-Closed Lost","","16","36","10"
"001F000001VlLNYIA3","LogMeIn, Inc.","1.583","2015-12-22","Not Flagged this week","0062A00000qkdabQAA","2018-04-09","42","2018-12-17","8-Closed Lost","","120","36","4"
"0012A00002DjWNOQA3","Emirates Global Aluminium","0.500","2018-08-15","Green","0063q00000wIMbYAAW","2019-12-02","19","2020-08-10","7-Closed Won","25000.0","68","36","0"
"0012A00002Ad0krQAB","KOBAYASHI PHARMACEUTICAL CO., LTD.","0.083","2017-11-06","Yellow","0062A00000pnQopQAE","2018-02-26","0","2018-11-05","7-Closed Won","","16","36","0"
"0012A00002CpZUYQA3","GEM PARTNERS, INC","1.083","2017-09-25","Green","0062A00000pl4BBQAY","2018-01-15","140","2018-09-24","8-Closed Lost","","16","36","7"
"0012A000029ykU9QAI","LOYALTY MARKETING, INC.","1.833","2018-06-27","Yellow","0060Z00000uAwZ1QAK","2019-10-14","33","2020-06-22","7-Closed Won","48000.0","68","36","5"
"0012A00002IKFSQQA5","Quincy Mutual Group","0.500","2018-05-31","Not Flagged this week","0060Z00000lfCHBQA2","2018-09-17","27","2019-05-27","7-Closed Won","","16","36","4"
"0010Z000026m87xQAA","HONDA ENGINEERING CO, LTD","0.916","2019-03-28","Green","0060Z00000ri9QUQAY","2019-07-15","155","2020-03-23","8-Closed Lost","46500.0","16","36","8"
"0012A00002BwDvbQAF","Aegon Asia","1.500","2018-09-03","Not Flagged this week","0060Z00000nLXqoQAG","2018-12-24","21","2019-09-02","8-Closed Lost","","16","36","12"
"0012A00002Ef7RkQAJ","UNICHARM CORPORATION","0.416","2018-01-16","Green","0060Z00000qKmqRQAS","2019-05-06","4","2020-01-13","7-Closed Won","","68","36","1"
"0012A000029zaVBQAY","BoomTown","2.333","2017-05-17","Green","0060Z00000tE9eDQAS","2019-09-02","99","2020-05-11","8-Closed Lost","30000.0","120","36","11"
"001F000001jWe2rIAC","Genentech / Roche","0.583","2017-04-17","None","0062A00000oGBsEQAW","2017-08-07","53","2018-04-16","7-Closed Won","","16","36","4"
"0012A00002DkCJpQAN","CANON IT SOLUTIONS INC.","0.833","2018-10-23","Red","0060Z00000wWwV6QAK","2020-02-10","19","2020-10-19","7-Closed Won","56000.0","68","36","4"
"0010Z000024iK5HQAU","Chumash Casino Resort and Hotel Corque","1.500","2019-02-08","Green","0060Z00000oumSYQAY","2019-05-27","68","2020-02-03","8-Closed Lost","","16","36","9"
"0012A00002FdRLAQA3","Chime Financial, Inc.","3.916","2020-01-31","Green","0063q00000xqlNMAAY","2020-05-18","65","2021-01-25","7-Closed Won","102400.0","16","36","3"
"0012A000029xWDnQAM","G&F Financial Group","0.166","2018-01-01","Green","0060Z00000qKltiQAC","2019-04-22","8","2019-12-30","7-Closed Won","","68","36","1"
"0012A000029TdvuQAC","Greenspring Associates","0.333","2017-07-17","None","0062A00000ovzMLQAY","2017-11-06","9","2018-07-16","7-Closed Won","","16","36","2"
"0012A000029ULCKQA4","EnerBank USA","0.916","2017-12-31","Green","0062A00000qiornQAA","2018-04-23","0","2018-12-31","7-Closed Won","","17","36","11"
"001F000001pVP1FIAW","MAZDA MOTOR CORPORATION","2.083","2018-10-30","Green","0063q00000zKSxEAAW","2021-05-10","104","2022-01-17","7-Closed Won","45000.0","132","36","8"
"0013q00002EXnxhAAD","Lyst Ltd","2.583","2021-01-18","Green","0063q00000zKaxFAAS","2021-05-10","14","2022-01-17","7-Closed Won","52000.0","16","36","10"
"0010Z000026lHhHQAU","JAPAN TOBACCO INC.","10.750","2019-01-31","Green","0063q00000zKUNGAA4","2021-05-10","469","2022-01-17","7-Closed Won","135168.0","119","36","12"
"0012A00002GQArBQAX","SUNTORY SYSTEM TECHNOLOGY LIMITED","9.000","2017-11-20","Green","0063q00000zIZ2KAAW","2021-05-10","316","2022-01-17","7-Closed Won","97500.0","181","36","12"
"0012A00002Af5CHQAZ","SumUp Limited","8.916","2020-01-20","Green","0063q00000xosWeAAI","2021-05-10","168","2022-01-17","8-Closed Lost","292000.0","68","36","12"
"0013q00002FqMXtAAN","Spring Trees","2.583","2021-01-28","Green","0063q00000zKfEkAAK","2021-05-17","16","2022-01-24","7-Closed Won","70500.0","16","36","0"
"0013q00002DNiEbAAL","Kyowa Co., Ltd.","2.083","2021-01-29","Green","0063q00000zKgO9AAK","2021-05-17","39","2022-01-24","7-Closed Won","45860.0","16","36","4"
"0013q00002EacMRAAZ","Philip Morris Brasil Industria e Comercio Ltda.","3.833","2021-01-04","Green","0063q00000zKcHnAAK","2021-05-17","337","2022-01-24","7-Closed Won","63000.0","19","36","11"
"0010Z000028l8JdQAI","The Nature Conservancy","0.833","2021-01-27","Green","0063q00000zKfdVAAS","2021-05-17","15","2022-01-24","8-Closed Lost","15300.0","16","36","0"
"0012A00002IKZr3QAH","Doosan","1.750","2021-01-29","Green","0063q00000zKS7sAAG","2021-05-17","34","2022-01-24","7-Closed Won","30150.0","16","36","3"
"0012A00002DmPvMQAV","Cebu Air, Inc","2.166","2018-01-30","Green","0063q00000zKIjvAAG","2021-05-17","7","2022-01-24","7-Closed Won","30000.0","172","36","12"
"0012A00002CjIdCQAV","Heartland Bank LTD","0.083","2021-01-29","Green","0063q00000zKaxUAAS","2021-05-17","0","2022-01-24","8-Closed Lost","41904.76","16","36","0"
"0012A00002DIqELQA1","MITSUBISHI ELECTRIC CORPORATION","0.083","2021-01-29","Green","0063q00000zKfCMAA0","2021-05-17","4","2022-01-24","7-Closed Won","41202.0","16","36","0"
"0012A000029xdHwQAI","Encova Insurance Group","1.166","2017-01-27","","0062A00000mA3RyQAK","2017-05-15","37","2018-01-22","7-Closed Won","","16","36","6"
"001F000001lY60nIAC","PUX CORPORATION","0.833","2017-09-27","Green","0060Z00000nLYfWQAW","2019-01-14","49","2019-09-23","8-Closed Lost","","68","36","9"
"0012A00002DJUGrQAP","GCI Communication Corp","0.000","2018-06-30","Green","0060Z00000wWXAdQAO","2019-01-21","0","2019-09-30","7-Closed Won","","30","36","0"
"0012A000028uwjKQAQ","TOYOTA TSUSHO CORPORATION","1.750","2017-03-29","Green","0062A00000rUzjwQAC","2018-07-16","77","2019-03-25","7-Closed Won","","68","36","9"
"0012A00002GR8CAQA1","JFE STEEL CORPORATION","1.666","2018-02-28","Green","0062A00000rmrOCQAY","2018-06-18","80","2019-02-25","7-Closed Won","","16","36","7"
"0012A00002BxDjjQAF","Hexcel Corporation","1.500","2018-10-31","Green","0060Z00000wXllzQAC","2020-02-17","26","2020-10-26","7-Closed Won","81413.0","68","36","12"
"0012A00002K8PWBQA3","Bobcat Company","0.666","2018-10-31","Green","0060Z00000wXSTZQA4","2020-02-17","16","2020-10-26","7-Closed Won","52000.0","68","36","6"
"0012A00002EAZ2LQAX","TOYOTA BOSHOKU CORPORATION","2.916","2018-03-26","Green","0062A00000rUlsyQAC","2018-07-16","120","2019-03-25","7-Closed Won","","16","36","11"
"0012A00002KoqKBQAZ","LifeMiles","1.166","2018-10-31","Green","0060Z00000pi8CZQAY","2020-02-17","48","2020-10-26","7-Closed Won","43200.0","68","36","12"
"0012A00002E9Qc7QAF","Beyond Finance, Inc.","0.083","2017-10-20","Not Flagged this week","0060Z00000ojgovQAA","2019-02-04","1","2019-10-14","8-Closed Lost","","68","36","0"
"0010Z00001yVXV6QAO","SHISEIDO COMPANY, LIMITED","1.333","2020-01-01","Green","0063q00000xogLhAAI","2020-04-20","182","2020-12-28","7-Closed Won","68640.0","16","36","11"
"001F000001rxox8IAA","Commonwealth Care Alliance, Inc.","0.500","2017-04-10","Not Flagged this week","0062A00000rVCXnQAO","2018-07-30","30","2019-04-08","8-Closed Lost","","68","36","4"
"001F000001oQKqGIAW","Detroit Tigers Inc","1.833","2017-12-08","Not Flagged this week","0062A00000qiE9DQAU","2018-03-26","184","2018-12-03","7-Closed Won","","16","36","12"
"0012A00002GOnakQAD","ChildFund Australia","0.416","2018-02-28","Green","0060Z00000tCyVFQA0","2018-10-22","15","2019-07-01","8-Closed Lost","","34","36","3"
"0012A0000204AZGQA2","Thrivos, Inc. (fka CASH1)","1.250","2017-01-15","Not Flagged this week","0062A00000qjg53QAA","2018-05-07","101","2019-01-14","7-Closed Won","","69","36","8"
"0012A000029yeLjQAI","United Educators","3.166","2017-10-31","Green","0063q00000xrLlUAAU","2020-02-17","298","2020-10-26","7-Closed Won","69000.0","120","36","11"
"0010Z00001wqzODQAY","Florida International University","1.166","2018-08-20","Green","0060Z00000nLXVZQA4","2018-12-10","86","2019-08-19","7-Closed Won","","16","36","8"
"0012A000027uD8LQAU","Peapod, LLC","1.000","2017-09-01","Not Flagged this week","0062A00000oviFPQAY","2017-12-18","67","2018-08-27","7-Closed Won","","16","36","2"
"0012A00002069czQAA","Turo","5.833","2017-08-01","Not Flagged this week","0060Z00000nB4V5QAK","2018-11-19","81","2019-07-29","7-Closed Won","","68","36","12"
"0012A00001ty5UVQAY","SBI Holdings, Inc.","2.666","2017-04-12","None","0062A00000ow0AQQAY","2017-07-31","105","2018-04-09","7-Closed Won","","16","36","9"
"0012A00002BO5uhQAD","Dave, Inc.","2.583","2018-01-05","Green","0060Z00000oujMrQAI","2019-04-22","27","2019-12-30","7-Closed Won","","68","36","12"
"0012A00002GR8IrQAL","Kirin Holdings Company, Limited","8.333","2017-12-28","Green","0060Z00000qKmqbQAC","2019-04-15","477","2019-12-23","7-Closed Won","","68","36","12"
"001F000001jXe1cIAC","CorVel Corporation","1.833","2017-07-31","Not Flagged this week","0062A00000ovzL3QAI","2017-11-20","62","2018-07-30","7-Closed Won","","16","36","8"
"0012A00002F4eOgQAJ","MIZUHO BANK, LTD.","0.000","2018-07-27","Green","0060Z00000n8yjvQAA","2018-11-12","0","2019-07-22","7-Closed Won","","16","36","0"
"0012A000026bAGRQA2","Harmoney Limited","4.166","2017-03-01","Green","0062A00000rUaycQAC","2019-06-17","45","2020-02-24","7-Closed Won","","120","36","12"
"0012A00002GP5XyQAL","1st Financial Bank USA","2.666","2018-01-15","Grey","0060Z00000qKo5tQAC","2019-05-06","34","2020-01-13","8-Closed Lost","","68","36","6"
"0012A000028sbzqQAA","NOMURA RESEARCH INSTITUTE, LTD.","3.666","2017-05-10","None","0062A00000oGBnYQAW","2017-08-28","558","2018-05-07","7-Closed Won","","16","36","11"
"0012A000029yHkJQAU","FINC,INC.","0.166","2017-07-05","Red","0060Z00000lOVFVQA4","2018-10-22","0","2019-07-01","8-Closed Lost","","68","36","0"
"0012A00002GmctkQAB","TOHOKU ELECTRIC POWER COMPANY,INCORPORATED","2.833","2018-04-03","Green","0062A00000rVCNNQA4","2018-07-23","95","2019-04-01","8-Closed Lost","","16","36","5"
"0012A00002GmcJVQAZ","ONO PHARMACEUTICAL CO., LTD.","5.416","2018-06-28","Green","0060Z00000uAB46QAG","2019-10-14","224","2020-06-22","7-Closed Won","156000.0","68","36","11"
"0012A000022CtOnQAK","Tealium, Inc.","0.583","2017-03-10","None","0062A00000nTukFQAS","2017-06-26","62","2018-03-05","8-Closed Lost","","16","36","4"
"0012A000029ULCKQA4","EnerBank USA","0.916","2017-12-31","Green","0060Z00000oukH8QAI","2019-04-22","13","2019-12-30","7-Closed Won","","69","36","11"
"001F000001jWe2rIAC","Genentech / Roche","1.333","2017-04-17","Green","0063q00000xpfNhAAI","2020-04-27","22","2021-01-04","8-Closed Lost","60000.0","158","36","8"
"001F000001rxox8IAA","Commonwealth Care Alliance, Inc.","0.416","2017-04-10","None","0062A00000nVyehQAC","2017-07-31","35","2018-04-09","7-Closed Won","","16","36","4"
"0012A00002DHnI6QAL","Compare The Market Pty Ltd","3.000","2017-10-31","Green","0062A00000plx1qQAA","2018-02-19","189","2018-10-29","7-Closed Won","","16","36","12"
"0012A00002Ef7RkQAJ","UNICHARM CORPORATION","1.250","2018-01-16","None","0062A00000qjkJwQAI","2018-05-07","26","2019-01-14","7-Closed Won","","16","36","3"
"0012A00002Ff2GJQAZ","BVA","1.166","2018-04-25","Not Flagged this week","0060Z00000lfApcQAE","2018-08-13","209","2019-04-22","7-Closed Won","","16","36","10"
"0012A00002IJPYZQA5","Phone Group","0.333","2018-07-31","Not Flagged this week","0060Z00000nB4dWQAS","2018-11-19","6","2019-07-29","7-Closed Won","","16","36","0"
"0012A000028uwjKQAQ","TOYOTA TSUSHO CORPORATION","2.000","2017-03-29","None","0062A00000nUu1LQAS","2017-07-17","131","2018-03-26","7-Closed Won","","16","36","10"
"001F000001UpbP0IAJ","Trupanion, Inc.","2.250","2015-12-08","Green","0060Z00000qKmTgQAK","2019-03-25","29","2019-12-02","7-Closed Won","","172","36","12"
"001F000001jWe2rIAC","Genentech / Roche","3.000","2017-04-17","Green","0060Z00000qKNsrQAG","2019-04-29","73","2020-01-06","7-Closed Won","","106","36","10"
"0010Z00001wpnzIQAQ","Pinger, Inc.","0.833","2018-09-30","Green","0060Z00000wWjrtQAC","2020-01-20","1","2020-09-28","7-Closed Won","45337.5","69","36","9"
"0012A00001vAoLFQA0","Kornerstone Credit","2.833","2017-01-31","Not Flagged this week","0062A00000rVNJ7QAO","2018-07-16","37","2019-03-25","7-Closed Won","","76","36","12"
"0012A00002DHG1kQAH","TOKYO GAS CO., LTD.","2.666","2018-03-23","Green","0063q00000wvG6WAAU","2019-09-30","460","2020-06-08","7-Closed Won","217800.0","80","36","12"
"0010Z00001wpx5hQAA","CLUB TOURISM INTERNATIONAL INC.","1.166","2018-07-13","Green","0060Z00000sYeeQQAS","2019-10-28","24","2020-07-06","8-Closed Lost","36000.0","68","36","3"
"0012A00002GQArBQAX","SUNTORY SYSTEM TECHNOLOGY LIMITED","3.666","2017-11-20","Green","0060Z00000p0E2sQAE","2019-03-11","173","2019-11-18","7-Closed Won","","68","36","9"
"001F000001pVP1FIAW","MAZDA MOTOR CORPORATION","0.000","2018-10-30","Yellow","0063q00000xo1AWAAY","2020-05-11","0","2021-01-18","7-Closed Won","106200.0","80","36","0"
"0012A000025Hb4JQAS","SHIMIZU CORPORATION","0.583","2017-03-01","Green","0062A00000rmmbfQAA","2018-06-18","12","2019-02-25","7-Closed Won","","68","36","1"
"001F000001SrWmKIAV","Digital River, Inc.","2.416","2015-10-01","Not Flagged this week","0060Z00000owHjGQAU","2019-01-21","5","2019-09-30","7-Closed Won","","173","36","12"
"0012A00002F3hdkQAB","Liverpool Victoria","0.166","2018-04-29","Yellow","0060Z00000lfAshQAE","2018-10-15","3","2019-06-24","7-Closed Won","","25","36","1"
"001F000001gRQwWIAW","SIGMAXYZ INC.","4.000","2016-06-13","Green","0060Z00000tE1pUQAS","2019-09-02","218","2020-05-11","7-Closed Won","80000.0","168","36","11"
"001F000001iVBapIAG","Moss Adams LLP","0.750","2017-05-31","Grey","0060Z00000lfBmLQAU","2019-09-16","32","2020-05-25","8-Closed Lost","52200.0","120","36","2"
"0012A00002K6p1MQAR","TOKIO MARINE&NICHIDO LIFE INSURANCE CO.,LTD.","1.333","2018-11-28","Green","0063q00000vu5leAAA","2020-03-16","35","2020-11-23","7-Closed Won","36000.0","68","36","12"
"0012A00002BxDjjQAF","Hexcel Corporation","0.833","2018-10-31","Green","0060Z00000pS9UUQA0","2019-02-18","11","2019-10-28","7-Closed Won","","16","36","0"
"0010Z000023jsZWQAY","Yolito","1.583","2019-02-01","Green","0060Z00000oujM3QAI","2019-05-20","631","2020-01-27","7-Closed Won","","16","36","11"
"0012A000029y6V6QAI","Macquarie Bank USA","0.916","2019-02-01","Green","0060Z00000oujMwQAI","2019-05-20","6","2020-01-27","8-Closed Lost","","16","36","8"
"0010Z000023ruN3QAI","Monday.com","1.000","2018-10-01","Not Flagged this week","0060Z00000ogGmFQAU","2019-01-21","54","2019-09-30","7-Closed Won","","16","36","12"
"0012A00002JdHqAQAV","Lendistry LLC","0.583","2018-11-15","Grey","0060Z00000pS6TZQA0","2020-03-02","0","2020-11-09","8-Closed Lost","36000.0","68","36","7"
"0012A00002IKZrkQAH","Falabella","2.166","2019-02-01","Green","0060Z00000ouk29QAA","2019-05-20","137","2020-01-27","8-Closed Lost","","16","36","3"
"001F000001gRn5xIAC","PERSOL CAREER CO., LTD.","5.250","2016-12-01","Green","0062A00000rUayNQAS","2018-03-19","120","2018-11-26","7-Closed Won","","68","36","11"
"0012A00002IZz0TQAT","Decode Health","0.583","2018-04-30","Not Flagged this week","0062A00000rwvFAQAY","2018-08-20","4","2019-04-29","7-Closed Won","","16","36","0"
"001F000001cQuIyIAK","Lendingtree LLC","7.750","2016-07-18","Green","0060Z00000nB4VeQAK","2019-11-04","87","2020-07-13","7-Closed Won","80000.0","172","36","12"
"0012A00002Ff2GJQAZ","BVA","1.583","2018-04-25","Green","0060Z00000riFywQAE","2019-08-12","108","2020-04-20","8-Closed Lost","22497.6","68","36","7"
"0012A00002GoZ2iQAF","StoryFit Inc.","1.750","2017-12-31","Not Flagged this week","0062A00000qies9QAA","2018-04-23","61","2018-12-31","7-Closed Won","","17","36","8"
"0012A000028sQvIQAU","Heifer International","0.250","2017-05-01","None","0062A00000oFaJDQA0","2017-08-21","5","2018-04-30","7-Closed Won","","16","36","1"
"0010Z000026A9xGQAS","Novo Nordisk Ltd.","0.583","2018-12-31","Green","0060Z00000qKm9VQAS","2019-04-22","39","2019-12-30","7-Closed Won","","16","36","4"
