is_bad,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
0,"Locus Telecommunications-KDDI","10+ years","MORTGAGE","63000.0","VERIFIED - income","n","  Borrower added on 08/05/11 > I am planining renew the kitchen and the bathroom and some minor work in the living room.<br/>","home_improvement","Home Improvement","070xx","NJ","0.21","1.0","8/1/2001","0.0","16.0","","10.0","0.0",48,"0.4","28.0","f","0.0","",1
1,"Service By Air Inc","10+ years","MORTGAGE","170000.0","VERIFIED - income","n","I am looking to pay off credit card balances by refinancing my credit card debt at a lower rate and applying the savings to the remaining balances.","credit_card","Credit Crd Refinance","905xx","CA","8.49","0.0","12/1/1979","2.0","38.0","109.0","10.0","1.0",29236,"85.3","29.0","f","0.0","",1
0,"Triad Isotopes","4 years","MORTGAGE","120155.0","not verified","n","","moving","Relocation loan","327xx","FL","8.28","0.0","10/1/2001","0.0","","","11.0","0.0",0,"0.0","44.0","f","0.0","",1
0,"HAGYARD PHARMACY","3 years","MORTGAGE","72000.0","not verified","n","","home_improvement","home addition","403xx","KY","17.3","0.0","1/1/2000","2.0","58.0","","7.0","0.0",10689,"86.9","23.0","f","0.0","",1
0,"AAA East Central","10+ years","RENT","53004.0","not verified","n","  Borrower added on 03/24/11 > Credit consolidation loan.  After lower interest rate this site provides.  No late payments in credit history.<br/>","debt_consolidation","Personal Loan","180xx","PA","7.36","0.0","12/1/1998","1.0","","","6.0","0.0",11701,"25.5","24.0","f","0.0","",1
0,"Scholastic Inc.","10+ years","RENT","90000.0","not verified","n","","credit_card","CC consolidation","112xx","NY","7.4","0.0","6/1/1993","2.0","","","8.0","0.0",18039,"69.9","23.0","f","0.0","",1
0,"First Citizens Bank and Trust Inc ","2 years","MORTGAGE","134000.0","VERIFIED - income","n","  Borrower added on 07/07/11 > This is to consolidate and remove all my revolving credit and close it down.  My goal is to be completely debt free in less than 3 years, except for my house payment.<br/>","debt_consolidation","Debt Consolidated","297xx","SC","18.7","0.0","7/1/1998","0.0","","","10.0","0.0",34045,"82.0","23.0","f","0.0","",1
0,"U.S. Coast Guard","10+ years","RENT","60000.0","not verified","n","My wife and I need to consolidate a few credit cards to a lower interest rate.  We have good credit, and always pay bills on time.  We are just looking for a break on the interest we are paying.  We are responsible people and could use your help, thank you. ","debt_consolidation","Debt consolidation","337xx","FL","17.32","0.0","5/1/1998","2.0","","","7.0","0.0",19817,"61.4","32.0","f","0.0","",1
0,"PHT Corporation","8 years","MORTGAGE","200000.0","VERIFIED - income","n","  Borrower added on 12/06/10 > I emailed my last two pay stubs as well as the HR contact info for my company.  Please review.<br/> Borrower added on 12/09/10 > My plan for the loan is to buy two Low Speed Electric Vehicles.  I am going to rent them out at the beach this summer to see if there is a market.  If it does not work out, I sell will sell them.<br/> Borrower added on 12/13/10 > I'm not sure why this loan is not being funded.  I have been working as a US Sales Manager for my company for 8 years and average making over 200k a year.  My job is very stable as we had the best year in the companies history.  My credit score is 743 and I pay off my credit cards every month.  I am a very responsible borrower who has never missed a payment on anything.  I am putting 15k of my own money into the start up funds of this business and need another 9k.  Please feel free to ask any questions.  Thank you for funding my loan.<br/>","major_purchase","Start Up Funds","275xx","NC","8.33","0.0","7/1/1997","0.0","46.0","","8.0","0.0",106053,"35.9","31.0","f","0.0","",1
0,"swagelok","4 years","MORTGAGE","26400.0","not verified","n","  Borrower added on 12/04/10 > To pay off debt<br/> Borrower added on 12/04/10 > I pay my bills on time just looking for a loan with low intrest rate so i can pay debt off quicker<br/>","credit_card","pay off credit cards","441xx","OH","5.68","0.0","2/1/2005","0.0","","","10.0","0.0",2895,"55.5","16.0","f","0.0","",1
1,"","10+ years","OWN","100000.0","VERIFIED - income source","n","  Borrower added on 04/04/11 > I just want finish completing my basement.<br/> Borrower added on 04/04/11 > Disregard the title I put on this loan. I didn't know how this site worked and I just put something. If I knew how to change it to basement, I would.<br/>","home_improvement","Motorcycle","301xx","GA","5.57","0.0","1/1/1984","2.0","44.0","","4.0","0.0",25611,"71.9","32.0","f","0.0","",1
1,"powerline","< 1 year","RENT","48000.0","not verified","n"," 568480 added on 11/09/09 > Thanks<br/>","credit_card","pooh","900xx","CA","20.6","2.0","8/1/1998","2.0","23.0","","21.0","0.0",10441,"50.7","30.0","f","0.0","",1
0,"Bella & Bash Consulting","3 years","RENT","45243.12","not verified","n","","debt_consolidation","Debt Consolidation","571xx","SD","15.99","0.0","8/1/2000","0.0","","","9.0","0.0",8173,"58.8","25.0","f","0.0","",1
0,"","1 year","MORTGAGE","195000.0","VERIFIED - income","n","","debt_consolidation","Loan 2","787xx","TX","21.42","0.0","2/1/1990","3.0","","","15.0","0.0",76001,"92.4","64.0","f","0.0","",1
0,"Fairleigh Dickinson University","10+ years","OWN","85460.0","not verified","n","  Borrower added on 02/07/11 > I am purchasing a car for my son who is in college<br/>","car","Robert's Car","070xx","NJ","6.4","0.0","7/1/1987","1.0","","","15.0","0.0",26770,"17.4","26.0","f","0.0","",1
0,"Jones Adams Delp PC","4 years","MORTGAGE","72072.0","not verified","n","","credit_card","Credit Card","243xx","VA","8.61","0.0","7/1/2000","0.0","","","8.0","0.0",13489,"73.3","35.0","f","0.0","",1
0,"State of California","10+ years","MORTGAGE","75000.0","not verified","n","LIke other banks lately, Am Ex has decided to raise our rate despite the spotless payment history.  I no longer care to patronize them.  I work hard for my money and dislike being taken advantage of.","credit_card","Bye Bye credit card","933xx","CA","23.64","0.0","9/1/1990","0.0","","","18.0","0.0",39304,"33.9","31.0","f","0.0","",1
0,"USDA-FSA","10+ years","MORTGAGE","45000.0","not verified","n","","debt_consolidation","Daniel17","989xx","WA","19.09","0.0","2/1/1988","4.0","","102.0","6.0","1.0",13771,"78.2","16.0","f","0.0","",1
0,"Apex Systems Inc","< 1 year","RENT","60000.0","VERIFIED - income","n","  Borrower added on 04/05/11 > This loan will allow me to significantly reduce my monthly interest payments and eliminate my credit card debt.<br/>","credit_card","Credit Card Payoff","021xx","MA","16.66","0.0","11/1/1993","0.0","27.0","","5.0","0.0",8349,"39.0","16.0","f","0.0","",1
0,"Drexel University","10+ years","RENT","50000.0","not verified","n","  Borrower added on 12/08/11 > I'm seeking to lower my overall per month debt payment.  I've stayed current on my bills for the past few years, and look forward to paying this loan off as scheduled with no problems.<br>","debt_consolidation","Debt Consolidation","191xx","PA","15.1","0.0","1/1/1993","1.0","","","9.0","0.0",13577,"66.2","26.0","f","0.0","",1
1,"builders works","2 years","RENT","42000.0","not verified","n","I am in need of a Bobcat skid-steer loader and trailer for it. I have some basement waterproofing side jobs lined up, where i need this machinery, i have been renting it in past. But  now i need it for longer time and it would make my other side jobs a lot easier. I have found one in very good condition with some attachments for it for $15000. ","major_purchase","For construction equipment.","190xx","PA","4.46","0.0","11/1/2004","0.0","","","7.0","0.0",5626,"26.9","9.0","f","0.0","",1
0,"Cambium Learning Group","7 years","MORTGAGE","52000.0","not verified","n","","debt_consolidation","Debt Consolidation Loan","805xx","CO","9.53","0.0","4/1/1999","1.0","","","5.0","0.0",1825,"13.1","12.0","f","0.0","",1
0,"Atlantis Homes","10+ years","RENT","41300.0","not verified","n","  Borrower added on 02/19/10 > single mom wanting to get out of debt...tired of paying on credit cards forever...need to see the end of the tunnel.<br/> Borrower added on 02/19/10 > My girls lost their father in April 2005. I would like to get out of debt so I can help them go to college. One is in college now...the other in 2 years.<br/> Borrower added on 02/21/10 > I have a 401K that has in access of $10,000 but I would prefer not to use it for several reasons.<br/> Borrower added on 02/22/10 > I woluld like to personally thank everyone so far for helping me realize my dream. I am definitely going to be an investor next time.<br/> Borrower added on 02/22/10 > I would like to add that I receive $1400 a month in survivor benefits for my children.<br/>","debt_consolidation","get out of debt","233xx","VA","13.8","0.0","12/1/1998","0.0","79.0","112.0","9.0","1.0",14246,"74.2","16.0","f","0.0","",1
0,"LAYTON MANUFACTRING","10+ years","RENT","60000.0","not verified","n","","car","AUTO LOAN","110xx","NY","10.38","1.0","5/1/1999","2.0","23.0","","15.0","0.0",9122,"20.8","27.0","f","0.0","",1
0,"Engility","5 years","MORTGAGE","103200.0","not verified","n","","car","amccar","318xx","GA","2.03","0.0","3/1/1994","1.0","80.0","","8.0","0.0",1966,"2.3","22.0","f","0.0","",1
0,"PERRY MEMORIAL","10+ years","MORTGAGE","33600.0","not verified","n"," 569083 added on 11/10/09 > I noticed on my profile that it says that I have been employed less than a year.  I have been employed at my current job since 1990.  I'm a nurse who works as director of respiratory services.  I'm able to work in many different areas of the hospital, therefore, I get the opportunity to work overtime in serveral different departments.  My income is very stable.<br/>","debt_consolidation","MONEY FOR CONSOLIDATION","730xx","OK","10.71","1.0","8/1/1995","2.0","10.0","","6.0","0.0",179,"44.7","15.0","f","0.0","",1
1,"Sergis Images","5 years","RENT","41900.0","not verified","n","  Borrower added on 07/14/11 > the money will be used to consolidate existing credit card bills<br/> Borrower added on 07/15/11 > i greatly appreciate this loan to help me lower my monthly payments<br/>","credit_card","credit cards","112xx","NY","12.26","0.0","12/1/2006","3.0","","","12.0","0.0",10044,"42.6","15.0","f","0.0","",1
0,"Transamerica","10+ years","RENT","52800.0","not verified","n","","debt_consolidation","My Loan","117xx","NY","4.45","0.0","11/1/2000","0.0","","","5.0","0.0",3281,"93.7","10.0","f","0.0","",1
0,"Liberty Pest Control","2 years","RENT","30000.0","not verified","n","Medical expenses not covered, deductable not met this year.","medical","Medical Expenses","936xx","CA","13.32","0.0","12/1/2000","0.0","","","8.0","0.0",7099,"36.0","11.0","f","0.0","",1
0,"schneider national carriers","10+ years","OWN","48000.0","not verified","n","  Borrower added on 08/25/11 > Loan is for a used motorcycle. I have excellent credit ,a stable job of over 12 years,I own my home,which is paid in full. I consider myself as good investment as you can find. Thanks!<br/>","car","motorcycle","121xx","NY","9.2","0.0","1/1/1995","0.0","","","9.0","0.0",1421,"4.6","17.0","f","0.0","",1
0,"Arizona Community Physician","9 years","MORTGAGE","90000.0","VERIFIED - income","n","  Borrower added on 11/22/11 > I plan on paying off all my credit cards with this loan..I have not had a late payment on any of my loans..I am current..I just need to get out of this credit card cycle...With this loan, I can pay a little less per month of what my current minimum payments on my credit cards are..And I will finally have these credit cards gone and this loan paid off..<br>","debt_consolidation","Debt Consolidation Loan","856xx","AZ","12.33","0.0","9/1/1998","1.0","","","9.0","0.0",19734,"75.9","29.0","f","0.0","",1
0,"Target Distribution","7 years","OWN","21996.0","VERIFIED - income","n","","major_purchase","Heating & Air","290xx","SC","9.44","0.0","10/1/1988","0.0","","","13.0","0.0",5267,"8.3","16.0","f","0.0","",1
0,"Empire Computer Services","2 years","RENT","36000.0","VERIFIED - income source","n","  Borrower added on 07/04/11 > Whilst working as a waiter and going to school for the career I have chosen I have accrued a decent sized chunk of credit card debt, through keeping my car on the road and surviving between restaurant jobs. I plan to use this loan to take control of the cancer that is credit card debt. Over 2 years ago I finished my schooling and was hired by a small computer company that continues to thrive and steadily grow. As this small business has invested in me, I have invested in them both professionally and personally. I remain loyal to them as they have treated me as if I were family, and I continue to help build, shape and innovate our success.<br/>","debt_consolidation","Knock down the cards","342xx","FL","16.23","0.0","1/1/2007","2.0","26.0","","4.0","0.0",4320,"55.4","8.0","f","0.0","",1
0,"Rush medical hospital","10+ years","MORTGAGE","90000.0","VERIFIED - income","n","  Borrower added on 01/06/11 > I work as a nurse and have been doing this for 11 years, I also work overtime so I make well over 100,000 a year.  Also my husband makes great money.  We just want to pay off some credit cards and start fresh.  We are very good at paying off things on time montly. I don't like to be late.  Hope we are fully funded<br/>","debt_consolidation","Loan","606xx","IL","9.56","0.0","9/1/1997","3.0","44.0","","8.0","0.0",18158,"55.2","28.0","f","0.0","",1
0,"R.E. Serrano","5 years","RENT","80004.0","VERIFIED - income","n","  Borrower added on 01/11/11 > Is there anything else that I need to do on my part? Thanks<br/>","debt_consolidation","Debt Consolidation Loan","945xx","CA","12.39","0.0","5/1/1996","0.0","45.0","","14.0","0.0",10061,"39.9","24.0","f","0.0","",1
0,"Morton Arb","4 years","RENT","87000.0","VERIFIED - income","n","  Borrower added on 12/04/11 > My goal is to closeout my student loan and a few other things.  2012 is a fresh start!  <br>","debt_consolidation","Debt Consolidation","606xx","IL","9.31","2.0","9/1/1991","1.0","9.0","","7.0","0.0",20970,"88.4","32.0","f","0.0","",1
0,"Wachovia Corp.","2 years","MORTGAGE","50000.0","not verified","n","My husband and l have credit cards with a combined total of approximately 20k. One of his credit cards alone has an interest rate of 23.99%. The balance on this particular card is 7500. We both have great jobs and recently took advantage of the housing market and purchased a home. We are able to make monthly payments on all our cards, but we are having trouble paying more than the minimum payment. One of our biggest challenges is the gasoline prices that continuously go up. My husband has been travelling 188miles per day to and from work spending approx. $140 per week on gas. This amounts to $560.00 per month sometimes more. He works as a deputy sheriff for one county, but we moved to another county(houses alot more reasonable in the county we currently live in). In order for him to work in the county we currently moved to, he would have to apply for the Sheriff's Dept. Unfortunately you can't transfer jobs between counties. In the meantime, he is living with relatives to save on gas so we can continue to pay our bills on time. He comes home on the weekends. We realize this is no way a family should live and make sacrifices especially when you have children. If approved, we will use the money to pay off our creditors and make one monthly loan payment. We know that this alone would save us alot on Interest.","debt_consolidation","personal loan","349xx","FL","20.42","1.0","12/1/1986","2.0","15.0","0.0","13.0","0.0",12573,"71.8","29.0","f","0.0","",1
1,"United Parcel Service","10+ years","MORTGAGE","97584.0","VERIFIED - income","n","  Borrower added on 05/17/10 > The funds from this loan will be used to pay off high interest debt. It will also allow me to easily manage one monthly payment. I plan on retiring in 8 to 10 years and want to pay down all my debt before that time. This loan will help me with those plans. I currently pay all my bills on time and have no late payments. My 24 years in the Teamsters as a UPS driver has afforded me a level of seniority that makes my employment extremly secure. I am well insured for disability and life. I make very good money. The Lending Club is an excellent idea. Pure free market - I love it. Some one or some banking institution will be making money off my consolidation loan, will it be you?<br/>","debt_consolidation","Andy's Bailout","925xx","CA","11.84","0.0","4/1/2000","0.0","","109.0","16.0","1.0",9517,"72.4","25.0","f","0.0","",1
0,"MA Dept of Public Health","10+ years","MORTGAGE","56004.0","VERIFIED - income source","n","","debt_consolidation","Dieu Loan","021xx","MA","9.86","0.0","11/1/1994","5.0","","","10.0","0.0",15812,"88.1","33.0","f","0.0","",1
0,"US Army Corps of Engineers","4 years","RENT","65000.0","VERIFIED - income","n","  Borrower added on 12/05/11 > I will use this loan to consolidate all outstanding balances and have the convenience of one monthly payment. <br>","debt_consolidation","Debt Consolidation Loan","546xx","WI","16.87","0.0","4/1/2002","2.0","27.0","","7.0","0.0",16758,"64.7","27.0","f","0.0","",1
0,"Greenberg Grant & Richards","9 years","MORTGAGE","100000.0","not verified","n","This loan will be used to consolidate the rest of my debt and to eventually be debt free.","debt_consolidation","consolidate the rest of my debt","774xx","TX","10.51","0.0","6/1/1997","3.0","0.0","0.0","14.0","0.0",15491,"25.4","26.0","f","0.0","",1
0,"EPL. Inc","10+ years","MORTGAGE","81996.0","not verified","n","  Borrower added on 11/30/11 > Payoff High Interest Rate Credit Card and $1500 to fund HSA for 2012.<br>","other","Other","350xx","AL","23.65","0.0","6/1/1998","1.0","","","12.0","0.0",19092,"71.2","35.0","f","0.0","",1
0,"","10+ years","OWN","90000.0","not verified","n","","credit_card","CC Pay","871xx","NM","9.87","0.0","9/1/1972","3.0","","","16.0","0.0",5163,"4.0","35.0","f","0.0","",1
0,"Wells Fargo","3 years","RENT","41000.0","VERIFIED - income source","n","  Borrower added on 10/26/11 > I got into the trap of using my Amex for all my purchases for the great membership reward points. The longer I've had it the more I've realized I'm paying more in interest than I'm earning in rewards. Time to pay it off and get back to cash only like a sane person!<br/>","credit_card","CC Refinance","762xx","TX","14.53","0.0","7/1/1988","0.0","29.0","","11.0","0.0",2983,"46.6","22.0","f","0.0","",1
0,"","< 1 year","OWN","12816.0","not verified","n","  Borrower added on 12/23/09 > This loan is to pay off two high interest credit cards.<br/>","debt_consolidation","Debt Consolidation","241xx","VA","18.35","0.0","6/1/1993","0.0","75.0","100.0","5.0","1.0",4805,"84.3","12.0","f","0.0","",1
0,"Lanai High & Elem. School","8 years","RENT","15000.0","not verified","n","  Borrower added on 02/19/10 > I plan to use the funds to visit family in California whom I haven't seen in years. And I make a good borrower for I make payments in a timely manner, or pay it off as soon as abled too.<br/>","other","Exhilarating..","967xx","HI","3.44","0.0","9/1/1993","0.0","","77.0","2.0","1.0",654,"72.7","6.0","f","0.0","",1
0,"Roerig, Oliveira & Fisher, LLP","4 years","MORTGAGE","85000.0","VERIFIED - income source","n","","debt_consolidation","Debt Consolidation","785xx","TX","18.69","0.0","5/1/1978","0.0","39.0","","12.0","0.0",3871,"61.4","40.0","f","0.0","",1
0,"Eze Castle Software","< 1 year","RENT","130000.0","VERIFIED - income source","n","  Borrower added on 10/28/11 > I will be using this money to repay a 401K Loan.<br/><br/>Thank you!<br/> Borrower added on 10/28/11 > This loan was originally taken because I had to take a loss when I sold my house across country. The original balance was 46K and now down to the last 15K. We are working hard to be debt free by the end of 2012 and purchase another home.<br/>","debt_consolidation","Repaying a 401K Loan","024xx","MA","2.23","0.0","11/1/1999","0.0","","","7.0","0.0",0,"0.0","22.0","f","0.0","",1
0,"Nortel Networks","10+ years","MORTGAGE","70000.0","VERIFIED - income","n","I am part owner in a commercial piece of property and I want to start my own business.","small_business","Celebration Location","750xx","TX","3.02","1.0","8/1/1987","0.0","13.0","","14.0","0.0",2906,"4.5","30.0","f","0.0","",1
0,"MSA Architects","2 years","MORTGAGE","52800.0","VERIFIED - income","n","  Borrower added on 10/22/11 > I'm looking to fund a loan to pay off credit cards whose interest rates have skyrocketed in recent months and to pay for failed box gutters.<br/><br/>Thanks for considering me!<br/> Borrower added on 10/23/11 > Gutters will be 11K, Credit Cards are the additional 13K.<br/><br/>I'm a great borrower with great credit and a very stable job.  <br/><br/>The expected payback amount is comfortable with my household budget and will even allow me to contribute more to savings and my 401K than I had previously budgeted.<br/>","debt_consolidation","oh Box Gutters!  ok - credit debt too","452xx","OH","11.55","0.0","6/1/1997","0.0","","","7.0","0.0",12923,"51.9","28.0","f","0.0","",1
1,"Asplundh","4 years","MORTGAGE","90000.0","VERIFIED - income","n","We are looking to purchase new equipment (frozen yogurt machines) for our Frozen Yogurt business here in central California. My wife and I have excellent credit, own a home (not upside down in mortgage) and do not pay anything late.  I am a Southern California Edison Contractor (Asplundh) and my wife is a Registered Nurse. Have any questions feel free to ask. email TULESFROZENYOGURT@GMAIL.COM","small_business","TULES(pronounced Too-Lees) FROZEN YOGURT","932xx","CA","9.44","0.0","1/1/2001","0.0","","","9.0","0.0",5137,"24.2","13.0","f","0.0","",1
0,"American General Life and Accident Ins ","2 years","MORTGAGE","35000.0","not verified","n","  Borrower added on 09/08/11 > Purpose of loan is to payoff 6 open accounts (dedt consolidation), none of my bills are pat due, monthly budget is $2,300, and my position with my employer is very stable - excellent reviews<br/>","debt_consolidation","Debt Consolidation Loan","777xx","TX","15.87","0.0","11/1/1994","0.0","76.0","","10.0","0.0",9189,"76.6","28.0","f","0.0","",1
0,"Barnes Jewish Hospital","9 years","MORTGAGE","45000.0","not verified","n","To pay of Bills","credit_card","CCdebt","620xx","IL","13.95","0.0","4/1/1999","1.0","","","7.0","0.0",10891,"26.9","17.0","f","0.0","",1
